"url","saved","type","status"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/GBA-geothermal-2025.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_GBA-geothermal-2025.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/House_geo-horz.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_House_geo-horz.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/House_geo-vert.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_House_geo-vert.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/mother.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_mother.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/Money-Bag.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_Money-Bag.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/energystar.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_energystar.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/temperature-swing-comparison.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_temperature-swing-comparison.png","image","ok"
"https://storage.googleapis.com/sos-websvc/images/topics/system-blower-cycle.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_system-blower-cycle.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-619PHA-image.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-619PHA-image.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant38MPRA-image.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant38MPRA-image.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-38MAR-image.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-38MAR-image.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/38MGR_1_500x500.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_38MGR_1_500x500.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant40MHHC-image.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant40MHHC-image.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-heat-pump-model-38MHRC.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-heat-pump-model-38MHRC.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/293-VAN--HP-2025.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_293-VAN--HP-2025.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/248TAN-HP-2025.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_248TAN-HP-2025.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-246SAN-HP.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-246SAN-HP.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-Evolution-AC-Red-Shield-R[1].png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-Evolution-AC-Red-Shield-R[1].png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/preferred-single-stage-air-Puron-Advance-R.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_preferred-single-stage-air-Puron-Advance-R.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-607E-HP-package.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-607E-HP-package.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-pack-HP-PH5Z.jpg","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-pack-HP-PH5Z.jpg","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-legacy-gas-furnace-image.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-legacy-gas-furnace-image.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/Bryant-preferred-series-BW3-boiler-model-BW3.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_Bryant-preferred-series-BW3-boiler-model-BW3.png","image","ok"
"https://storage.googleapis.com/sos-websvc/uploads/core/images/Bryant/BryantBWBimage.png","da39a3ee5e6b4b0d3255bfef95601890afd80709_BryantBWBimage.png","image","ok"
