"url","saved","type","status"
"https://heatwiser.com/wp-content/uploads/2022/06/June-2022-1.jpg","af7bead17ea9d6b98c9919babd6eeebfa0aedf49_June-2022-1.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/06/June-2022-3.jpg","16fcf78f56044afc0f59792f273efb59e18261ef_June-2022-3.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/06/June-2022-5.jpg","c384a2f9fed3febac319692a49bab69629355cf6_June-2022-5.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/07/Basic-Liverpool-HVAC-repairs-to-do-yourself-OG.jpg","94365092ab75ea69d186677a66a05702fcb4e148_Basic-Liverpool-HVAC-repairs-to-do-yourself-OG.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/07/Maintenance-tips-for-Liverpool-HVAC-owners-with-pets-OG.jpg","7af3c7aa1dcbf3e34ac638b425506764c68be885_Maintenance-tips-for-Liverpool-HVAC-owners-with-pets-OG.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/07/What-should-be-in-my-Liverpool-HVAC-system-if-Im-prone-to-allergies_-OG.jpg","3173e69edd67490e0212f58019b6a497dc7c8186_What-should-be-in-my-Liverpool-HVAC-system-if-Im-prone-to-allergies_-OG.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/11/5-HVAC-cleaning-tips-to-remember-if-you-live-with-pets-in-NY-OG.jpg","d4ab70eaf98cad55b7395555f29f1e97477a21c2_5-HVAC-cleaning-tips-to-remember-if-you-live-with-pets-in-NY-OG.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2022/11/Should-you-get-an-air-purifier-for-your-Liverpool-HVAC-system_-Heres-why-OG.jpg","7ae10d90fba6ab7994bef9d2578a2b53e8bdce0f_Should-you-get-an-air-purifier-for-your-Liverpool-HVAC-system_-Heres-why-OG.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2024/12/heat-wiser-bills.png","68c6c832e758bbae2ff8f2d5fe7d7543103fe5d1_heat-wiser-bills.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/02/hw-air-filter.png","3c87dd624cd5f0701958abe9498fb8657facc95f_hw-air-filter.png","image","ok"
